STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,TERRITORIAL_TYPE,Territorial typology,REF_AREA,Reference area,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT342,Rheintal-Bodenseegebiet,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,308381,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT127,Wiener Umland/Südteil,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2018,,235.6,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT313,Mühlviertel,POP,Population,_T,Total,_T,Total,PS,Persons,2018,,208483,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT313,Mühlviertel,POP,Population,_T,Total,_T,Total,PS,Persons,2019,,209304,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT313,Mühlviertel,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,210133,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT313,Mühlviertel,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,210515,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT313,Mühlviertel,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,211657,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT333,Osttirol,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,48814,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT333,Osttirol,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,48818,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT341,Bludenz-Bregenzer Wald,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2018,,49.3,,AUT,Austria,A,Normal value,0,Units,2,Two
