economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ABW,-788.0,-566.0,-601.0,-650.0,-682.0,-727.0,-762.0,-1066.0,-1128.0,-1165.0,-1189.0,-1205.0,-548.0,-308.0,-240.0,-287.0,-701.0,-728.0,-745.0,-758.0,-756.0,-547.0,-413.0,-405.0,-535.0,-751.0,-954.0,-1052.0,-905.0,-185.0,879.0,1949.0,1294.0,1660.0,1664.0,1782.0,1813.0,1867.0,1958.0,2010.0,1226.0,566.0,349.0,329.0,326.0,594.0,634.0,672.0,703.0,743.0,501.0,333.0,317.0,315.0,333.0,373.0,405.0,434.0,431.0,420.0,0.0,503.0,152.0,147.0
AFE,-102704.0,-38646.0,-56414.0,-42809.0,22280.0,7627.0,5881.0,28506.0,37258.0,-18615.0,-12781.0,-91106.0,-120416.0,208461.0,54059.0,33607.0,-60672.0,-432016.0,609149.0,109460.0,-72573.0,514791.0,514670.0,468187.0,400951.0,344728.0,187193.0,208800.0,-230030.0,-143960.0,47976.0,-539801.0,-208254.0,250990.0,-153050.0,-283365.0,-719150.0,-760003.0,-225429.0,-471938.0,-688533.0,-592931.0,-531528.0,-517323.0,-472255.0,-568306.0,-581942.0,-530023.0,-438568.0,-479929.0,-413050.0,-712363.0,-174216.0,-91530.0,-414158.0,151528.0,-799850.0,340934.0,327087.0,100706.0,340127.0,187508.0,-220428.0,-989975.0
AFG,2606.0,6109.0,7016.0,6681.0,7079.0,10695.0,3563.0,6824.0,3333.0,2029.0,4458.0,-12801.0,-4050.0,-3030.0,-20009.0,-44418.0,-85430.0,-83115.0,-117186.0,-525413.0,-1174239.0,-1998086.0,-500998.0,-172797.0,248224.0,-208685.0,-343397.0,-345535.0,-56263.0,18296.0,-458737.0,32782.0,1197329.0,1149684.0,315206.0,52505.0,4072.0,-21215.0,7380.0,-32400.0,-1025973.0,-212872.0,860349.0,247317.0,-269194.0,250971.0,57673.0,-851298.0,215753.0,-60602.0,-167460.0,384486.0,68628.0,18119.0,233913.0,-286314.0,-143049.0,-71491.0,-36753.0,9159.0,143634.0,-548784.0,-647402.0,-48958.0
AFW,-759.0,-36991.0,-31675.0,-32310.0,-40403.0,-11060.0,-16542.0,14318.0,2490.0,-11263.0,6280.0,-86862.0,-56095.0,-51583.0,-1121.0,-2052.0,-141841.0,-65322.0,-56459.0,-40641.0,-94343.0,-18826.0,74723.0,-626026.0,-251393.0,-187629.0,-143659.0,-125058.0,-68540.0,-28470.0,-482233.0,-43861.0,39360.0,-271392.0,-117487.0,96446.0,-99789.0,147489.0,146647.0,-104687.0,29309.0,1062.0,4172.0,-72858.0,-15775.0,-127048.0,-213837.0,-217242.0,-252742.0,-245845.0,-310519.0,-223577.0,-509144.0,-373991.0,-181414.0,-247654.0,50874.0,-72945.0,-178068.0,-270812.0,-39974.0,-149585.0,-81809.0,327673.0
AGO,-40935.0,-74774.0,-77265.0,-78700.0,-79977.0,-81111.0,-82767.0,-85173.0,-87730.0,-90395.0,-36456.0,4386.0,47611.0,54650.0,53232.0,52662.0,47927.0,61110.0,61200.0,64158.0,72192.0,70910.0,75921.0,82958.0,78529.0,74738.0,64974.0,62820.0,65028.0,63586.0,64821.0,46143.0,53310.0,52879.0,61569.0,55568.0,61681.0,67944.0,70527.0,70301.0,72793.0,77458.0,82292.0,80828.0,90553.0,87050.0,95431.0,100563.0,100370.0,105077.0,122418.0,128800.0,130643.0,124478.0,84535.0,74171.0,91614.0,77731.0,61632.0,58984.0,7556.0,29094.0,-995.0,-995.0
ALB,13734.0,829.0,2325.0,4091.0,6604.0,9617.0,11858.0,12252.0,10490.0,2665.0,92.0,-911.0,-1588.0,-1419.0,-1880.0,-2610.0,-1684.0,-1417.0,3230.0,-1871.0,-601.0,-374.0,-225.0,66.0,64.0,-183.0,-2309.0,-3250.0,658.0,-38835.0,-60173.0,-63689.0,-66538.0,-68445.0,-70165.0,-69785.0,-68076.0,-66188.0,-66087.0,-63093.0,-60531.0,-48070.0,-45178.0,-48517.0,-48654.0,-48893.0,-48882.0,-49770.0,-50619.0,-51657.0,-51907.0,-18630.0,-19845.0,-20681.0,-21706.0,-20500.0,-9347.0,-14901.0,-15032.0,-23094.0,-16680.0,-32848.0,-16426.0,-25357.0
AND,639.0,655.0,665.0,672.0,665.0,663.0,873.0,1068.0,1094.0,1124.0,1145.0,1166.0,1177.0,1203.0,1222.0,1264.0,1286.0,1285.0,1247.0,1162.0,1010.0,927.0,1421.0,1377.0,1291.0,1079.0,2005.0,1094.0,1697.0,-38.0,3243.0,4121.0,2061.0,3137.0,-1402.0,-956.0,154.0,343.0,94.0,-365.0,-503.0,155.0,528.0,4924.0,4248.0,1317.0,2293.0,1566.0,947.0,-885.0,-6194.0,-363.0,-2201.0,-1642.0,-1734.0,-1873.0,1415.0,1357.0,1143.0,1245.0,572.0,1514.0,1102.0,1061.0
ARB,-78553.0,-145513.0,-120111.0,-162496.0,-160755.0,-184588.0,-50731.0,-31282.0,6095.0,7998.0,-44956.0,-74130.0,-58693.0,142378.0,-4921.0,391471.0,331843.0,186915.0,720749.0,844834.0,554470.0,-11074.0,246342.0,197650.0,286793.0,37797.0,218394.0,29819.0,-429193.0,-197544.0,-1433172.0,-277703.0,-49421.0,830289.0,-98479.0,52606.0,-157055.0,135363.0,184835.0,130302.0,468890.0,349835.0,426252.0,183300.0,453391.0,548882.0,705074.0,1108146.0,872244.0,504368.0,156222.0,223817.0,577194.0,735533.0,575497.0,364082.0,132220.0,-994068.0,-591361.0,-51896.0,-280925.0,471864.0,2684826.0,482824.0
ARE,3102.0,3141.0,3212.0,3264.0,3126.0,2598.0,1516.0,-283.0,28866.0,39902.0,40792.0,41425.0,41888.0,42243.0,42474.0,42380.0,78903.0,81111.0,82359.0,82238.0,78148.0,37600.0,38276.0,38536.0,38124.0,37605.0,69655.0,69493.0,68991.0,68132.0,67118.0,66943.0,65739.0,65545.0,62352.0,68938.0,180296.0,183310.0,183329.0,180469.0,178469.0,178779.0,178988.0,177237.0,176319.0,174926.0,399306.0,722380.0,523207.0,163643.0,161842.0,215183.0,225921.0,279269.0,360174.0,342468.0,195317.0,34155.0,14611.0,-125186.0,92541.0,421663.0,322773.0,300004.0
ARG,20387.0,26322.0,31449.0,32866.0,34530.0,36083.0,37752.0,39711.0,42014.0,42688.0,38355.0,35442.0,36050.0,38589.0,33134.0,-5293.0,-10235.0,-14675.0,-14665.0,-10213.0,1932.0,16569.0,29616.0,46438.0,47659.0,46889.0,38586.0,40859.0,37594.0,26555.0,15719.0,-8537.0,-13201.0,-16455.0,-18723.0,-19815.0,-20486.0,-20651.0,-20326.0,-20220.0,-22775.0,-23687.0,-22674.0,-22450.0,-22381.0,-22068.0,-20109.0,-18099.0,-12517.0,-7882.0,-5003.0,-1117.0,2978.0,5275.0,5794.0,5464.0,5215.0,4931.0,5742.0,5397.0,292.0,314.0,5589.0,4133.0
